Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,洛阳,----,19:34,00:00,-
2,洛阳东,19:42,19:46,00:08,5
3,偃师,20:06,20:08,00:28,34
4,巩义,20:27,20:32,00:47,54
5,郑州,21:33,21:55,01:48,124
6,开封,22:41,22:44,02:34,196
7,兰考,23:12,23:15,03:02,239
8,商丘,00:14,00:19,04:01,327
9,徐州,02:27,02:41,06:09,473
10,蚌埠,04:37,04:41,08:05,637
11,滁州北,05:59,06:22,09:23,764
12,南京,07:25,07:41,10:26,821
13,镇江,08:21,08:30,11:06,885
14,常州,09:18,09:22,11:54,957
15,无锡,09:49,09:53,12:21,-
16,苏州,10:30,10:34,12:58,1038
17,上海,12:35,12:35,14:59,1129
