Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,齐齐哈尔,----,10:25,00:00,-
2,富裕,11:05,11:08,00:40,63
3,依安,12:00,12:03,01:32,129
4,克山,12:46,12:50,02:15,175
5,克东,13:17,13:25,02:42,207
6,北安,13:48,14:00,03:05,231
7,赵光,14:25,14:27,03:30,258
8,通北,14:59,15:02,04:02,295
9,扎音河,15:26,15:28,04:26,322
10,海伦,15:44,15:46,04:42,337
11,东边井,15:57,15:59,04:53,349
12,绥棱,16:16,16:22,05:10,369
13,张维屯,16:39,16:46,05:27,391
14,四方台,16:59,17:03,05:40,-
15,绥化,17:38,17:44,06:15,439
16,兴隆镇,18:05,18:07,06:36,467
17,白奎堡,18:17,18:19,06:46,479
18,呼兰,18:52,18:55,07:19,532
19,哈尔滨东,19:20,19:46,07:44,213
20,扶余,21:19,21:22,09:17,637
21,德惠,21:59,22:02,09:54,700
22,长春,22:58,23:06,10:50,404
23,铁岭,02:51,02:53,14:35,1014
24,沈阳北,03:43,03:50,15:25,768
25,沈阳,03:57,04:14,15:32,1084
26,本溪,05:15,05:15,16:33,1197
