Unnamed: 0,车站,到达时间,发车时间,走行时间（小时）,里程（公里）
1,南京南,----,07:45,00:00,-
2,江宁,07:53,07:55,00:08,12
3,溧阳,08:21,08:23,00:34,98
4,宜兴,08:35,08:37,00:46,129
5,长兴,08:49,08:56,00:58,165
6,湖州,09:05,09:07,01:07,185
7,德清,09:20,09:22,01:20,221
8,杭州东,09:36,09:39,01:34,256
9,绍兴北,09:58,10:01,01:53,299
10,绍兴东,10:13,10:19,02:05,304
11,余姚北,10:31,10:33,02:17,560
12,宁波,10:54,10:58,02:38,411
13,奉化,11:15,11:17,02:55,449
14,三门县,11:43,11:45,03:21,517
15,台州,12:04,12:06,03:40,492
16,永嘉,12:42,12:44,04:16,668
17,温州南,12:54,12:56,04:26,510
18,平阳,13:13,13:15,04:43,-
19,福鼎,13:37,13:39,05:05,780
20,宁德,14:16,14:18,05:42,892
21,福州南,14:55,15:09,06:19,686
22,涵江,15:33,15:35,06:43,1046
23,莆田,15:45,15:47,06:53,772
24,泉州,16:12,16:14,07:18,841
25,厦门北,16:39,16:46,07:43,912
26,南靖,17:17,17:19,08:14,988
27,龙岩,17:50,17:50,08:45,1068
